Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GB/MOD/MET > Met Office, Ministry of Defence, United Kingdom",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"DOC/NOAA/NESDIS/NCDC > National Climatic Data Center, NESDIS, NOAA, U.S. Department of Commerce",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"DOD/USNAVY/NRL/MRY > Naval Research Laboratory, Monterey, U.S. Navy, U. S. Department of Defense",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"DOC/NOAA/NWS/NCEP > National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Scientific Computing Division, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/contributor/@formerName,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure",/dsOverview/variable,Undefined
